Track,Paper_ID,Title,Authors,Institutions,Room,Poster_ID,Session,Abstract,Times,URL
Proceedings,8,Trust Issues - Uncertainty Estimation Does not Enable Reliable OOD Prediction On Medical Tabular Data,"Dennis Ulmer, Lotta Meijerink, Giovanni Cinà","Pacmed BV, Pacmed BV, Pacmed BV",1,1,Morning,"When deploying machine learning models in high-stakes real-world environments such as health care, it is crucial to accurately assess the uncertainty concerning a model's prediction on abnormal inputs. However, there is a scarcity of literature analyzing this problem on medical data, especially on mixed-type tabular data such as Electronic Health Records. We close this gap by presenting a series of tests including a large variety of contemporary uncertainty estimation techniques, in order to determine whether they are able to identify out-of-distribution (OOD) patients. In contrast to previous work, we design tests on realistic and clinically relevant OOD groups, and run experiments on real-world medical data. We find that almost all techniques fail to achieve convincing results, partly disagreeing with earlier findings. ",11:30am - 12:30pm ET,https://drive.google.com/open?id=1_FJuvWPWYlpkB3R1MrHyS4coeTuw-Y3x
Proceedings,20,sEMG Gesture Recognition with a Simple Model of Attention,"David Josephs*, Carson Drake*, Andrew Heroy, John Santerre","Southern Methodist University,Southern Methodist University,Southern Methodist University,Southern Methodist University",3,48,Afternoon,"                                 Myoelectric control is one of the leading areas of research in the field of robotic prosthetics. We present our
                                 research in surface electromyography (sEMG) signal classification, where our simple and novel attention-based approach now leads the industry, universally beating more complex, state-of-the-art models. Our novel attention-based model achieves benchmark leading results on multiple industry-standard datasets including 53 finger, wrist, and grasping motions, improving over both sophisticated signal processing and CNN-based approaches. Our strong results with a straightforward model also indicate that sEMG represents a promising avenue for future machine learning research, with applications not only in prosthetics, but also in other important areas, such as diagnosis and prognostication of neurodegenerative diseases, computationally mediated surgeries, and advanced robotic control. We reinforce this suggestion with extensive ablative studies, demonstrating that a neural network can easily extract higher order spatiotemporal features from noisy sEMG data collected by affordable, consumer-grade sensors.

","11:30am - 12:30pm ET, 5:15 - 6:15 pm ET",https://drive.google.com/open?id=1qpxXxexy2UhTEUPJ8Wk5Bg78dTOVXs23
Proceedings,27,Improved Clinical Abbreviation Expansion via Non-Sense-Based Approaches,"Juyong Kim, Linyuan Gong, Justin Khim, Jeremy C. Weiss, Pradeep Ravikumar","Carnegie Mellon University, University of California Berkeley, Carnegie Mellon University, Carnegie Mellon University, Carnegie Mellon University",1,2,Morning,"Abbreviation expansion is an important problem in clinical natural language processing because abbreviations often occur in text notes in medical records, and expansions of these abbreviations are critical for downstream applications such as assistive diagnosis and insurance code review. Previous studies have treated abbreviation expansion as a special case of word sense disambiguation; however, abbreviation expansion is easier because we only need the character level expansion and not necessarily the full sense of the abbreviation. In particular, such character level expansions may naturally occur elsewhere in medical contexts. Accordingly, we consider two categories of methods for abbreviation expansion: (a) non-sense-based methods that use information solely at lexical levels using state-of-the-art language models, and (b) sense-based methods that also incorporate sense information, such as glosses, from knowledge bases, to simultaneously perform the two tasks of expansion and disambiguation of the abbreviation. We propose two language model based approaches, including a novel length-agnostic permutation language model, find non-sense methods to be more effective than sense-based methods, and achieve the state-of-the-art on three clinical datasets.",11:30am - 12:30pm ET,https://drive.google.com/open?id=1barZpDcvoIIZCjoGnJL4qETwI3kHIeLI
Proceedings,29,Addressing the Real-world Class Imbalance Problem in Dermatology,"Wei-Hung Weng, Jonathan Deaton, Vivek Natarajan, Gamaleldin F. Elsayed, Yuan Liu","MIT, Google, Google, Google, Google",3,49,Afternoon,"Class imbalance is a common problem in medical diagnosis, causing a standard classifier to be biased towards the common classes and perform poorly on the rare classes. This is especially true for dermatology, a specialty with thousands of skin conditions but many of which have low prevalence in the real world. Motivated by recent advances, we explore few-shot learning methods as well as conventional class imbalance techniques for the skin condition recognition problem and propose an evaluation setup to fairly assess the real-world utility of such approaches. We find the performance of few-show learning methods does not reach that of conventional class imbalance techniques, but combining the two approaches using a novel ensemble improves model performance, especially for rare classes. We conclude that ensembling can be useful to address the class imbalance problem, yet progress can further be accelerated by real-world evaluation setups for benchmarking new methods.","11:30am - 12:30pm ET, 5:15 - 6:15 pm ET",https://drive.google.com/open?id=16HYN4r-oOj74qV4foOKh_HFSZWJGFZHJ
Proceedings,40,Appropriate Evaluation of Diagnostic Utility of Machine Learning Algorithm Generated Images,"Young Joon (Fred) Kwon, Danielle Toussie, Lea Azour, Jose Concepcion, Corey Eber, G Anthony Reina, Ping Tak Peter Tang, Amish H Doshi, Eric K Oermann, Anthony B Costa","Sinai BioDesign, Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; New York University Grossman School of Medicine; Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; Intel Corporation; Facebook Research; Icahn School of Medicine at Mount Sinai; NYU Grossman School of Medicine; Sinai BioDesign, Icahn School of Medicine at Mount Sinai",3,50,Afternoon,"Generative machine learning (ML) methods can reduce time, cost, and radiation associated with medical image acquisition, compression, or generation techniques. While quantitative metrics are commonly used in the evaluation of ML generated images, it is unknown how well these quantitative metrics relate to the diagnostic utility of images. Here, fellowship-trained radiologists provided diagnoses and qualitative evaluations on chest radiographs reconstructed from the current standard JPEG2000 or variational autoencoder (VAE) techniques. Cohen’s kappa coefficient measured the agreement of diagnoses based on different reconstructions. Methods that produced similar Fréchet inception distance (FID) showed similar diagnostic performances. Thus in place of time-intensive expert radiologist verification, an appropriate target FID -- an objective quantitative metric -- can evaluate the clinical utility of ML generated medical images.","11:30am - 12:30pm ET, 5:15 - 6:15 pm ET",https://drive.google.com/open?id=1b7bqGKP6v1hYvUhp9VHOuk8IBhY8y29o
Proceedings,41,DeepHeartBeat: Sequence modelling for medical data,"Fabian Laumer*, Gabriel Fringeli*, Alina Dubatovka, Laura Manduchi, Joachim M. Buhmann",ETH Zürich,1,4,Morning,"Echocardiography monitors the heart movement for noninvasive diagnosis of heart diseases. It proves to be of particular practical importance as it combines low-cost portable instrumentation and rapid image acquisition without the risks of ionizing radiation. However, echocardiograms produce high-dimensional, noisy data which can be difficult to interpret.
Therefore, we propose a novel autoencoder-based framework, DeepHeartBeat, to learn human interpretable representations of cardiac cycles from cardiac ultrasound data. Our model encodes high dimensional observations by a cyclic trajectory in a lower dimensional space. We show that the learned parameters describing the latent trajectory are well interpretable and we prove the versatility of our model by successfully applying it to various cardiologically relevant tasks, such as ejection fraction prediction and arrhythmia detection. As a result, DeepHeartBeat can serve as a valuable assistant tool for automating therapy decisions and guiding clinical care.",11:30am - 12:30pm ET,https://drive.google.com/open?id=17smDikgp7JMR0QuV5085bvDd1q6YX_CB
Proceedings,49,Contrastive Representation Learning for Electroencephalogram Classification,"Mostafa Mohsenvand, Mohammad Rasool Izadi, Pattie Maes","MIT Media Lab, University of Notre Dame, MIT Media Lab",3,52,Afternoon,"Interpreting and labeling human electroencephalogram (EEG) is a challenging task requiring years of medical training. We present a framework for learning representations from EEG signals via contrastive learning. By recombining channels from multi-channel recordings, we increase the number of samples quadratically per recording. We train a channel-wise feature extractor by extending the SimCLR framework to time-series data. We introduce a set of augmentations for EEG and study their efficacy on different classification tasks. We demonstrate that the learned features improve EEG classification and significantly reduce the amount of labeled data needed on three separate tasks: (1) Emotion Recognition (SEED), (2) Normal/Abnormal EEG classification (TUH), and (3) Sleep-stage scoring (SleepEDF). Our models show improved performance over previously reported supervised models on SEED and SleepEDF and self-supervised models on all three tasks.","11:30am - 12:30pm ET, 5:15 - 6:15 pm ET",https://drive.google.com/open?id=1jUvh1f2x1qF6WHQHc14ObafHxvjKqb8C
Proceedings,58,Parkinsonian Chinese Speech Analysis towards Automatic Classification of Parkinson's Disease,"Hao Fang, Chen Gong, Chen Zhang, Yanan Sui, Luming Li","National Engineering Laboratory for Neuromodulation; School of Aerospace Engineering; Tsinghua University, National Engineering Laboratory for Neuromodulation; School of Aerospace Engineering; Tsinghua University, National Engineering Laboratory for Neuromodulation; School of Aerospace Engineering; Tsinghua University, National Engineering Laboratory for Neuromodulation; School of Aerospace Engineering; Tsinghua University, National Engineering Laboratory for Neuromodulation; School of Aerospace Engineering; Tsinghua University",1,6,Morning,"Speech disorders often occur at the early stage of Parkinson's disease (PD). The speech impairments could be indicators of the disorder for early diagnosis, while motor symptoms are not obvious. In this study, we constructed a new speech corpus of Mandarin Chinese and addressed classification of patients with PD. We implemented classical machine learning methods with ranking algorithms for feature selection, convolutional and recurrent deep networks, and an end to end system. Our classification accuracy significantly surpassed state-of-the-art studies. The result suggests that free talk has stronger classification power than standard speech tasks, which could help the design of future speech tasks for efficient early diagnosis of the disease. Based on existing classification methods and our natural speech study, the automatic detection of PD from daily conversation could be accessible to the majority of the clinical population.",11:30am - 12:30pm ET,https://drive.google.com/open?id=1HD8GxZctr1ixCJl_kQPINFDs_0dFpcrS
Proceedings,64,"Interpretable Epilepsy Detection in Routine, Interictal EEG Data using Deep Learning","Thomas Uyttenhove, Aren Maes, Tom Van Steenkiste, Dirk Deschrijver, Tom Dhaene","Ghent University, Ghent University - imec, Ghent University - imec, Ghent University - imec, Ghent University - imec",3,55,Afternoon,"Epilepsy, a common serious neurological disorder, is characterized by its frequently occurring seizures that cause its patients to be three times as likely to die prematurely.

While the application of machine learning to EEG recordings has enabled the successful prediction of whether and when such seizures will occur, the reliable detection of epilepsy during seizure-free periods is lacking.

As far as the authors are aware, this work proposes the first deep learning approach for the latter task -- and the second machine learning approach altogether. Additionally, it does so in an interpretable fashion to validate the proposed method for a more wide-spread adoption in healthcare and to potentially unveil unknown epileptic biomarkers. 
The performance of the Tiny Visual Geometry Group (t-VGG) convolutional neural network is evaluated against Temple University Hospital's EEG Epilepsy Corpus, a data set of variable-length EEG recordings gathered during routine checkups. 

The t-VGG network predicted individual 10 second EEG windows with an Area Under the Precision-Recall Curve (AUPR) of 93.02% for epileptic predictions and 55.85% for healthy ones -- a significant improvement of respectively 7.24pp and 18.6pp (p <. 001) over the current state-of-the-art. 
Averaging window predictions per recording improved the t-VGG's respective AUPR performances further to 95.52% and 77.27%.
The Gradient-weighted Class Activation Mapping method for interpretability confirmed that the model was able to learn sensible features with connections to well-known epilepsy markers. ",5:15 - 6:15 pm ET,https://drive.google.com/open?id=1r1QdU8psVO6DDoKmsTlqJPjjz9Wfo6qS
Proceedings,67,Evaluation of Contrastive Predictive Coding for Histopathology Applications,"Karin Stacke, Claes Lundström, Jonas Unger, Gabriel Eilertsen","Linköping University; Sectra AB, Linköping University; Sectra AB, Linköping University, Linköping University ",1,7,Morning,"Recent advances in self-supervised learning for image data are closing the gap between unsupervised and supervised learning. However, the effectiveness of self-supervised methods has primarily been demonstrated for natural images. If the results would extrapolate to histopathology images, there could be significant benefits due to the reduced need for annotated data. In this paper, Contrastive Predictive Coding (CPC), one of the most promising state-of-the-art self-supervised methods, is extensively evaluated on histology data by varying a range of different parameters, including training objective, resolution, and data setup. From the results, we are able to draw important conclusions on the usefulness of CPC for digital pathology. We show strong evidence of the limitations of the learned representation for tumor classification, where only low-level information learned early during training, in the first CPC layers, is used. Furthermore, in our experiments, diversifying the distribution of the dataset (i.e., data from multiple organs or medical centers) does not lead to the model learning a more general representation. This study deepens the understanding of how the CPC model's objective relates to intrinsic characteristics of histology datasets and will help the development of effective self-supervised methods for histopathology. ",11:30am - 12:30pm ET,https://drive.google.com/open?id=1hHPaAKbwAeUoDh3sf0uMtCEuUTcwvXiG
