PAPERID,TITLE,AUTHORS,PDFURL
13,Unsupervised patient representations from clinical notes with interpretable classification decisions,"Madhumita Sushil, Simon Šuster, Kim Luyckx, Walter Daelemans",http://arxiv.org/abs/1711.05198
6,Evaluating deep variational autoencoders trained on pan-cancer gene expression,Gregory P. Way and Casey S. Greene,https://arxiv.org/pdf/1711.04828.pdf
29,End-to-end Training for Whole Image Breast Cancer Diagnosis using An All Convolutional Design,Li Shen,https://arxiv.org/pdf/1711.05775.pdf
10,Personalized Driver Stress Detection with Multi-task Neural Networks using Physiological Signals,Aaqib Saeed and Stojan Trajanovski,https://arxiv.org/pdf/1711.06116.pdf
72,Segmenting Brain Tumors with Symmetry,"Hejia Zhang, Xia Zhu, and Theodore L. Willke",https://arxiv.org/pdf/1711.06636.pdf
34,Wrist Sensor Fusion Enables Robust Gait Quantification Across Walking Scenarios,"Zeev Waks, Itzik Mazeh, Chen Admati, Michal Afek, Yonatan Dolan, and Avishai Wagner",https://arxiv.org/pdf/1711.06974.pdf
3,A deep learning-based method for relative location prediction in CT scan images,"Jiajia Guo, Hongwei Du , Bensheng Qiu and Xiao Liang",https://arxiv.org/abs/1711.07624
12,Finding Algebraic Structure of Care in Time: A Deep Learning Approach,"Phuoc Nguyen, Truyen Tran and Svetha Venkatesh",https://arxiv.org/pdf/1711.07980.pdf
76,Riemannian tangent space mapping and elastic net regularization for cost-effective EEG markers of brain atrophy in Alzheimer's disease,"Wolfgang Fruehwirt, Matthias Gerstgrasser, Pengfei Zhang, Leonard Weydemann, Markus Waser, Reinhold Schmidt, Thomas Benke, Peter Dal-Bianco, Gerhard Ransmayr, Dieter Grossegger, Heinrich Garn, Gareth W. Peters, Stephen Roberts, Georg Dorffner",https://arxiv.org/pdf/1711.08359.pdf
120,Towards Deep Learning Models for Psychological State Prediction using Smartphone Data: Challenges and Opportunities,"Gatis Mikelsons, Matthew Smith, Abhinav Mehrotra, and Mirco Musolesi",https://arxiv.org/pdf/1711.06350.pdf
118,Detection of Tooth caries in Bitewing Radiographs using Deep Learning,"Muktabh Mayank Srivastava, Pratyush Kumar, Lalit Pradhan and Srikrishna Varadarajan",https://arxiv.org/pdf/1711.07312v2.pdf
